dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,0,3,158.5215341,511,170,1.291270939,25.14542012,97.72961978,97.72956321,2,0.462344914,17996362,10.08633549,115.246372,147.5943872,146.2363599,511,170,1.288663021,25.50351002,72.58044831,72.58034781,2,0.999932758,16427982,11.21275805,90.27617622,109.8705971,101.3612031,511,170,1.451039824,6.584962501,47.07313353,47.07311002,2,0.999999995,633087659,3.553173716,55.30607661,71.60969042,70.91695607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,0,1,237.067008,1023,341,1.221730476,56.8895783,142.4823846,142.4818882,2,0.457661049,67088553324,22.23090478,175.8587843,214.7232047,211.104355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,0,2,236.9541502,1023,341,1.221730476,56.8895783,142.4823846,142.4818882,2,0.457661049,67088553324,22.23090478,175.8587843,214.7232047,198.6209476,1023,341,1.343623132,25.74357024,85.58997344,85.58973818,2,1,4.52E+13,11.73239963,103.3877772,129.3847837,128.4707359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,0,3,238.7181259,1023,341,1.221730476,55.12573819,142.4823846,142.4821208,2,0.457661049,67088553324,23.99474489,174.9764931,214.723379,194.2192928,1023,341,1.384813877,19.97147479,85.58997344,87.35638257,2,1,2.45E+14,6.65717367,100.5009694,131.2479059,130.6973232,1023,341,1.396126225,16.36187526,67.38256752,67.38205481,2,1,3.61E+14,7.9339381,80.48820293,102.0734668,101.4417447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,0,1,322.437693,1023,341,1.221730476,78.94172879,193.6576148,193.6573901,2,0.465662742,1.10E+12,30.3796544,238.0834473,291.4862537,290.4463543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,0,2,316.4647589,1023,341,1.2544554,65.29820544,193.6586334,193.6580594,2,0.466039873,1.05E+13,24.97652225,231.2603039,291.4875196,279.4621921,1023,341,1.306563547,46.4024761,128.3581773,128.3579774,2,1,2.75E+14,20.08925732,156.5091138,193.5371161,192.3901349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,0,3,313.3335688,1023,341,1.275816615,57.15089374,193.6592049,193.6587907,2,0.466251372,4.22E+13,21.81936617,227.1859346,291.4884968,284.638537,1023,341,1.292798191,51.03688708,136.5062203,136.5060443,2,1,1.20E+14,21.72813596,166.9749968,205.7591985,192.6094953,1023,341,1.384427365,24.60041726,85.46747862,85.46719354,2,1,1.49E+16,11.71209999,102.7148244,129.2010041,128.4139832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,0,1,169.4052822,511,170,1.221730476,39.38184444,101.7770126,101.7769801,2,0.462684138,2328104,15.72145966,126.4178775,153.6654945,147.3760949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,0,2,164.3906404,511,170,1.292298919,26.09220445,101.7798605,101.7795701,2,0.463743758,23716001,10.43175365,119.7728413,153.669573,150.4789573,511,170,1.324092038,21.04066832,75.68384233,75.68382869,2,0.999961192,58764769,9.271938214,91.14991934,114.5257533,113.5380149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,classical,-19.8,1,132.6363376,511,170,1.041061628,105.4196499,97.71022941,119.0305593,8,0.455069846,2213,15.05994998,116.0093681,#NAME?,116.9823693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,classical,-19.8,2,134.8576807,511,170,1.178097245,49.43060021,97.72417516,115.5496518,8,0.460312011,401148,16.47686674,108.8499581,#NAME?,117.4229219,511,170,1.221203745,52.51183685,50.76500395,66.11905156,8,0.999999964,1850780,3.51014297,62.45970223,#NAME?,64.07455628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
