dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,list size_3,buckets size_3,m_3,eta_3,pf_inv_3,num_codes_3,filter_cost_3,memory_cost_3,search_cost_3,n_4,k_4,theta_4,code_size_4,list size_4,buckets size_4,m_4,eta_4,pf_inv_4,num_codes_4,filter_cost_4,memory_cost_4,search_cost_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,0,2,160.4164705,511,170,1.276037657,27.64240282,98.83437264,98.83392122,2,0.75,1,11.06393087,117.6001622,149.2512204,144.4703901,511,170,1.337215323,18.36376689,71.18782362,71.18755794,2,0.75,1,8.242031887,85.31223396,107.7815362,107.359639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,0,2,238.9802163,1023,341,1.221730476,56.98099219,143.8107215,143.8106985,2,0.75,1,22.26410429,177.2329607,216.716065,200.8112567,1023,341,1.343571124,25.7929662,86.82737365,86.82736437,2,0.75,1,11.75324237,104.650005,131.2410535,130.8919194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,0,3,160.1705123,511,170,1.291270939,25.14542012,98.83437264,98.83431608,2,0.75,1,10.08633549,116.3511248,149.2515165,147.8948489,511,170,1.288663021,25.50351002,73.68520117,73.68510068,2,0.75,1,11.21275793,91.38092909,111.5277264,103.1984508,511,170,1.451039824,6.584962501,48.17788639,48.17786289,2,0.75,1,3.496588625,56.41082947,73.26681737,73.12646181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,0,3,240.747925,1023,341,1.221730476,55.21316487,143.8107215,143.8106001,2,0.75,1,24.03193161,176.3486753,216.7159912,196.3776176,1023,341,1.38467004,20.02522204,86.82737365,88.59743524,2,0.75,1,6.675112465,101.7653741,133.108733,132.7902088,1023,341,1.396134283,16.38436218,68.56987673,68.5698611,2,0.75,1,7.942128287,81.68688349,103.8548034,103.7901898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,0,1,238.7933666,1023,341,1.221730476,56.8895783,143.5996513,143.5991549,2,0.75,1,22.23090478,176.976051,216.3991047,213.3388884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,0,1,320.4011702,1023,341,1.221730476,77.94495796,192.4426073,192.4422155,2,0.75,1,30.01202927,236.3692739,289.6636171,289.0498781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,0,2,238.6300572,1023,341,1.221730476,56.8895783,143.5996513,143.5991549,2,0.75,1,22.23090478,176.976051,216.3991047,200.5158715,1023,341,1.343623132,25.74357024,86.70724013,86.70700487,2,0.75,1,11.73239952,104.5050439,131.0606838,130.7052693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,0,2,314.3430108,1023,341,1.2544554,64.48162344,192.4426073,192.4425447,2,0.75,1,24.67828655,229.6352271,289.663864,277.9526084,1023,341,1.306563547,45.83230855,127.9592229,127.9587829,2,0.75,1,19.85533807,155.8243356,192.9385044,192.199059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,0,3,240.3940262,1023,341,1.221730476,55.12573819,143.5996513,143.5993875,2,0.75,1,23.99474489,176.0937598,216.3992791,196.09461,1023,341,1.384813877,19.97147479,86.70724013,88.47364927,2,0.75,1,6.657173553,101.6182361,132.9238059,132.6170907,1023,341,1.396126225,16.36187526,68.49983422,68.49932151,2,0.75,1,7.932330496,81.60546962,103.7493669,103.6762781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,0,3,311.2178681,1023,341,1.276056299,56.35386869,192.4426073,192.4421663,2,0.75,1,21.52903174,225.5700617,289.6635802,282.8402402,1023,341,1.293571343,50.14303279,136.0865992,136.0864171,2,0.75,1,21.35614688,166.1076668,205.1297623,192.5225377,1023,341,1.384366378,24.32826671,85.94168397,85.94159662,2,0.75,1,11.58221151,103.0522293,129.9124604,129.672129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
