dimension,metric,memory_cost,recursion_depth,total cost,n_1,k_1,theta_1,code_size_1,num_codes_1,m_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,num_codes_2,m_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,num_codes_3,m_3,filter_cost_3,memory_cost_3,search_cost_3
587,hardware_time,1.0000000,3,228.341911550079,1023,341,1.30926059194366,45.2639074351958,0.97111463407594,2,171.372092415482,222.515378897023,226.320079223806,1023,341,1.24353910256269,57.3051733099649,14.3828922202318,2,144.138414077034,166.673192976351,151.645102590843,1023,341,1.37301666844016,27.9363811825368,2.2862969722296,,79.1162510288726,91.1225083993097,90.9809155991564
587,hardware_time,1.0000000,2,229.225331836919,1023,341,1.24353910256269,57.3859113508541,12.6588471330233,2,177.435506442496,216.55825765142,208.108198119979,1023,341,1.29612588144739,43.5901965472931,8.86608138680364,2,120.122543932015,140.921139855888,140.788209083999,,,,,,,,,
587,hardware_time,1.0000000,1,234.614718360566,1023,341,1.20912040863451,67.7700397328912,17.105945021001,2,182.62991235269,216.568601024205,216.446356895922,,,,,,,,,,,,,,,,,,
818,classical,0.0000011,1,263.895128648233,1023,341,1.04428138980296,250.231180565381,1,9,258.785893755591,-inf,262.809015712189,,,,,,,,,,,,,,,,,,
818,classical,0.0000011,2,265.120093684668,1023,341,1.50712813461437,6.12928301694497,0.989756521594039,9,198.069090088512,-inf,263.130337163074,1023,341,1.05110440851574,243.342181251327,1,9,251.888937369164,-inf,255.915118276345,,,,,,,,,
818,classical,1.0000000,1,263.895128648233,1023,341,1.04428138980296,250.231180565381,1,9,258.785893755591,-inf,262.809015712189,,,,,,,,,,,,,,,,,,
818,classical,1.0000000,2,265.120093684668,1023,341,1.50712813461437,6.12928301694497,0.989756521594039,9,198.069090088512,-inf,263.130337163074,1023,341,1.05110440851574,243.342181251327,1,9,251.888937369164,-inf,255.915118276345,,,,,,,,,
818,hardware_time,0.0000011,3,287.144254450933,1023,341,1.30906884434518,61.3161194472577,0.998249583467582,2,228.051960126951,281.860688143378,285.070051392748,1023,341,1.24353910256269,75.8666370244173,21.6321584719532,2,190.251363190113,202.119874482506,191.224080439455,1023,341,1.29983300168478,56.2262792130619,14.7103882905726,,94.8186585769007,99.6200911107651,99.622786958966
818,hardware_time,0.0000011,2,289.396617219393,1023,341,1.24353910256269,75.9466858247333,19.2504233172612,2,235.369765322765,269.73744195196,267.127171255368,1023,341,1.24024743545535,78.0794246887439,22.889203747696,3,154.602277706375,167.290649968801,167.291694723664,,,,,,,,,
818,hardware_time,0.0000011,1,304.768662464888,1023,341,1.16628079933949,111.30798656577,33.4938400047755,2,253.057998765226,270.273514796169,270.276119477436,,,,,,,,,,,,,,,,,,
818,hardware_time,1.0000000,3,299.653248377801,1023,341,1.37458260716113,36.336568993482,0.751596364099051,2,215.558720006611,291.135683313218,297.895008703239,1023,341,1.30437102818228,54.065378716853,11.1274744066862,2,197.740996537334,249.489631774853,248.369811693121,1023,341,1.2983789157296,56.8306966315816,12.8719967937411,,152.57692267448,180.431838005163,180.433034106035
818,hardware_time,1.0000000,2,303.449351948245,1023,341,1.28414165654204,61.8696839436718,12.0164686557678,2,228.328831184553,290.427805428668,289.43794334636,1023,341,1.27094303017961,66.1745188116378,16.6443337619857,2,177.014945412562,209.92330386944,209.924547143932,,,,,,,,,
